X,Y,OBJECTID,COD_SIG,IDTIPO,INF_NOME,INF_MORADA,INF_TELEFONE,INF_FAX,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_MUNICIPAL,GlobalID
-9.097028175241977,38.793274968568809,1,5402612033001,2,Colégio Pedro Arrupe,"Passeio dos Heróis do Mar, 100-100C<br>Rua Vitorino Magalhães Godinho, S/N;",+351211572640,,direcaocpa@colegiopedroarrupe.pt ,http://www.colegiopedroarrupe.pt,,https://www.portaldasescolas.pt/portal/server.pt/community/01_escolas/240,0,65d10dff-410b-494f-b6ba-cfe773a58df6
-9.129332494767466,38.737964729825791,2,0302102023001,2,Colégio O Pelicano,"Alameda Dom Afonso Henriques, 4",+351 218 454 550,,geral@colegiopelicano.pt,www.colegiopelicano.pt ,,www.colegiopelicano.pt ,0,2892b7be-7f12-4ca1-8eea-c8f6f7e02fc2
-9.143685320931272,38.74767018477074,3,0401002004001,2,Colégio Eduardo Claparede,"Praça Andrade Caminha, 5",+351 217 993 982,,col.claparede@netcabo.pt,,,-,0,b13a2d6d-5802-4a37-90b2-8d2d6289fbcf
-9.217726634283201,38.696308411178777,4,3201513013001001,999,"Externato ""A Torre""","Rua Dom Cristóvão da Gama, 17",+351 213 011 407,,cooptorre@mail.telepac.pt,,,-,0,324d78ea-5803-4746-8b2f-7a14599e76a0
-9.158141144332319,38.715648612700363,5,3001305027001001,999,Jardim Escola João de Deus - Estrela,"Avenida Álvares Cabral, 69 A",+351 213 906 510,,estrela@escolasjoaodeus.pt,,,-,0,d2000432-a71d-45f0-b8c8-7bb6fafe0c52
-9.219380056327161,38.697819814604209,6,3202127001001001,999,"Escola ""São Francisco Xavier""","Rua Duarte Pacheco Pereira, 5",+351 213 010 039,,colegiosaofranciscoxavier@gmail.com,http://www.esfranciscoxavier.com.sapo.pt,,-,0,69adf340-2419-43b1-84a1-b82a83c78b8a
-9.13534658803386,38.751596616896691,7,4202702014001001,999,Queen Elisabeth's School,"Rua Filipe Magalhães, 1
",+351 218 410 140,,info.qes@gmail.com,http://www.qes.pt,,-,0,ea2a606d-01cb-47fe-997f-4ca9d5937196
-9.130312789406103,38.752392174359606,8,4202605067001001,999,Colégio Europeu Astória,"Avenida Almirante Gago Coutinho, 88",+351 211 583 551,,dpr@colegioeuropeu-astoria.com,http://www.colegioeuropeu-astoria.com/,,-,0,6abe413e-f4e4-4e7a-91d5-27f6be21e208
-9.133593871608296,38.747639382664651,9,0401901020001001,999,"Externato ""O Barquinho""","Rua António Andrade, 12
",+351 218 487 246,,barquinho@sapo.pt,,,-,0,d73f46cb-c257-4c77-b638-9fc65f68165f
-9.161614121950544,38.717803871499633,10,3001002003001001,999,Escola do Grémio de Instrução Liberal de Campo de Ourique,Largo Doutor António Viana,+351 213 959 009,,gremio@gremionet.com,http://www.gremionet.com,,-,0,d283d2c7-2bff-47c8-8423-82afa0307f36
-9.196687487559569,38.742402221203115,11,0805518004001001,999,"Externato Infantil e Primário ""O Beiral""","Travessa de Francisco Rezende, 5",+351 217 783 359,,geral@escolabeiral.com,,,-,0,7a359a06-513f-4717-85dd-b48d2436d803
-9.138095965504244,38.738948878961011,12,4302509026001003,999,"Colégio ""Paula Frassinetti""","Avenida do México, 7 e 9",+351 218 400 620,,info@colegiopaulafrassinetti.com,http://www.colegiopaulafrassinetti.com,,-,0,c71fd029-7212-4143-a965-11dc1e550948
-9.203357699529709,38.749961843806332,13,0808501033001002,999,"Externato ""Grão Vasco""","Avenida Grão Vasco, nº 40
",+351 217 603 207,,secretaria@graovasco.pt,http://www.graovasco.pt,,-,0,64e3123b-b045-42c6-b827-bdd401b9fa26
-9.163392605651753,38.715805626124293,14,3502702007001002,999,"Escola ""Pedro Nunes""","Rua Saraiva de Carvalho, 216 1º
",+351 213 961 943,,escola.pedro.nunes@mail.telepac.pt,http://www.e-pedro-nunes.rcts.pt,,-,0,eb4b9344-39f2-4b34-8eac-ddda794f6d47
-9.15928150527983,38.719253307557167,15,3001701056001,2,Colégio Alegria,"Rua da Páscoa, 62B",,,,,,-,0,da188296-b83e-4470-b831-3674e474ef13
-9.148041863496678,38.735781182753868,16,2302303001001,2,Nova Escola João de Deus Ramos,"Avenida João Crisóstomo, 35",+351 213 571 992,,novaescolajoaodeusramos@gmail.com,,,-,0,b76b7974-53e8-469f-b44d-6cd9993427ff
-9.168446580440783,38.744430601966187,17,3905410106001001,999,"Externato ""Princesa Ana""","Estrada das Laranjeiras, 191
",+351 217 265 176,,geral@colprincipecarlos.pt,,,-,0,aa2971ce-a175-46e4-b78b-400b0b0db507
-9.22259154694261,38.700124405042722,18,3202107001001001,999,Colégio As Descobertas,"Avenida Dom Vasco da Gama, 25
",+351 213 014 811,,asdescobertas@hotmail.com,,,-,0,0c02a0f7-8499-45e6-b975-912be6eb23b2
-9.109462611387327,38.729184247926867,19,0702804003001002,999,"Externato ""Camilo Castelo Branco""","Calçada Dom-Gastão, Vila Maria Luísa, 8 - 2.º",+351 218 681 620,,externatocamilocastelobranco@gmail.com,http://externatocamilocastelobranco.blogspot.com,,-,0,d13bd74a-1a4c-4fcf-b218-1dd4073887ad
-9.127591072859943,38.732585083288775,20,4100601013001002,999,"Externato ""Santa Francisca""","Rua Sabino de Sousa, 19 - 1º

",+351 218 132 139,,esfrancisca@gmail.com,http://www.esfrancisca.pt,,-,0,a4136932-b613-45b1-916c-0416cccfe0d1
-9.180927894270901,38.745319121611637,21,3902503044001001,999,Externato Fernão Mendes Pinto,"Estrada de Benfica, 358",+351 217 780 188,,secretaria@externatofmpinto.com,http://www.externatofmpinto.com/,,-,0,64da8ccf-73f7-42fc-a343-dce6a1ac333d
-9.189351651811659,38.761961523022336,22,1102314002001001,999,Externato n.º 4 de Educação Popular (Confraria de S.Vicente de Paulo),"Rua do Norte, a Carnide, 45",+351 217 140 433,,externaton4edupopular@clix.pt,,,-,0,cdd119a2-ab97-425b-9144-f2ada5b966b9
-9.131119836755651,38.728643212862416,23,2500401053001001,999,"Externato ""Mãe de Deus""","Rua da Penha de França, 243
",+351 218 149 048,,externato_md@iol.pt,,,-,0,f7c80c53-e958-44d1-9df1-9340140c8106
-9.15244769931668,38.717108161665479,24,4601601001001,2,Escola de Santa Teresa do Menino Jesus,"Rua da Imprensa Nacional, 93 e 95",+351 213 963 186,,geral@sta-teresinha.com,,,-,0,5b622ee4-a985-4f1d-b740-10d803c991b6
-9.134036404175129,38.752963816039703,25,4202607017001001,999,"Externato ""Os Fofinhos"" ","Rua Dom Pedro de Cristo, 18",+351 218 478 240,,info@osfofinhos.net,www.osfofinhos.pt,,-,0,7f185d3f-4e18-483c-bcac-4dc7d866f268
-9.163666854121461,38.767154321252704,26,1805907013001016,999,"Externato ""Pim-Pam-Pum""","Praça Rainha Dona Filipa, 1 - R/C
",+351 217 593 659,,rgmpimpampum@iol.pt,http://www.externatopimpampum.com/,,-,0,655618db-d233-4dd0-b8ca-4f5b8bce29f3
-9.103391568525145,38.750230255382952,27,2107401083001001,999,Associação Creche Ester Janz,"Avenida Infante Dom Henrique, 286",+351 218 311 200,,aej@janz.pt,http://www.esterjanz.no.sapo.pt/,,-,0,f5a3cf2a-da3f-423f-9695-e6c6e81fe37a
-9.156864413734764,38.764310712838444,28,1806905006001001,999,"Externato ""O Poeta""","Alameda das Linhas de Torres, 82",+351 217 591 275,,externatopoeta@hotmail.com,,,-,0,a7c9096e-bc6e-4bcf-93c1-e44de532eb1c
-9.20704369285466,38.707878484280094,29,4001506002001001,999,"Externato ""As Descobertas""","Rua Capitão-Mor Pedro Teixeira, 11",+351 213 031 060,,dir.descobertas@mail.telepac.pt,http://www.exdescobertas.com,,-,0,cba66f27-2856-4b64-a62d-2e3612a868c0
-9.155300269857003,38.712244599876421,30,1702903011001003,999,"Externato ""O Bambi""","Calçada da Estrela, 75 - R/C Dto

",+351 213 931 100,,EXTERNATOBAMBI@SAPO.PT,,,-,0,d17f257e-c02d-4327-8c90-5a3e1900a54c
-9.157303494075952,38.72530632792737,31,1002602023001001,999,Externato do Parque,"Rua de Artilharia Um, 97
",+351 213 882 094,,extparque.ger@netcabo.pt,,,-,0,8ce264c6-2102-4cbf-9012-875f2969537b
-9.181812923471982,38.762818069293637,32,1103701025001001,999,Externato da Luz,"Largo da Luz, 11
",+351 217 140 769,,direcao_luz@netcabo.pt,http://odin.depgef.min-edu.pt/es/extluz/,,-,0,1c5bd39b-7069-4ce7-b9d4-5983a960b6b1
-9.139797829199884,38.708712849611331,33,2000106033001,2,"Externato Paroquial ""Nossa Senhora da Conceição""","Largo da Academia Nacional de Belas Artes, 14 - 1",+351 213 425 599,,ext.paroquial.n.sra.conceicao@hotmail.com,,,-,0,2f6cf6eb-5bcd-4dfb-b92a-6734d4d6374c
-9.181644243217839,38.747723202334917,34,3905301087001,2,Externato Marista de Lisboa,"Rua Major Neutel de Abreu, 11",+351 217 712 030,,director@ext.marista-lisboa.org,http://www.ext.marista-lisboa.org,,-,0,b2d45979-b05f-4f92-b241-b2a64a61dda9
-9.220741033627005,38.699457350776306,35,3202111003001,2,"Centro de Pedagogia Terapêutica ""Bola de Neve""","Rua Afonso Gonçalves Baldaya, 6",+351 213 010 813,,secretariacolegioboladeneve@gmail.com,,,-,0,803a3091-0cec-4a14-a3ba-130e25bf588d
-9.159187409448764,38.709308907710778,36,3701403003001001,999,Colégio de Santa Maria,"R. das Praças, 15- 17
",+351 213 961 875,,geral@santamaria.edu.pt,,,-,0,ad0483bb-5dd1-4bbc-999c-63bc191516b2
-9.180707180900548,38.745225080445614,37,3902503003001001,999,CEBE - Cooperativa de Ensino de Benfica,"Estrada de Benfica, 356
",+351 217 782 120,,geral@cebices.com,,,-,0,d3c55ec6-eccd-4608-909e-85b2b4920a46
-9.220912955901007,38.70086067058422,38,3202004036001001,999,"Externato ""Mira Rio""","Av. D. Vasco da Gama, 17",+351 213 030 480,,ccolegiomirario@colegiosfomento.pt,http://www.colegiomirario.pt,,-,0,43e90e35-0ab2-4114-a944-c61cc8441475
-9.156171106574876,38.739413406582479,39,2304501017001001,999,"Externato ""Anita""","Avenida Santos Dumont, 57 - 1º Dto
",+351 217 935 829,,info@externatoanita.com,http://www.externatoanita.com,,-,0,cd9799a7-aa1e-4ff7-abd2-50c7a33407eb
-9.166673918720965,38.767353781306475,40,1805902004001001,999,Colégio Planalto,"Rua Armindo Rodrigues, 28
",+351 217 541 530,,colegioplanalto@colegiosfomento.pt,http://www.colegioplanalto.pt/,,https://www.portaldasescolas.pt/portal/server.pt/community/01_escolas/240,0,3a78eee1-b285-4aea-8ade-118d1d4869c6
-9.12916825847903,38.715596099819471,41,5101001030001002,999,"Sociedade de Instrução e Beneficência ""A Voz do Operário""","Rua da Voz do Operário, 13

",+351 218 862 155,,secretaria@vozoperario.pt,http://www.vozoperario.pt,,https://www.portaldasescolas.pt/portal/server.pt/community/01_escolas/240,0,06bbaeb8-33f3-4aeb-b097-9e7884fa676d
