X,Y,OBJECTID,COD_SIG,IDTIPO,INF_NOME,INF_MORADA,INF_TELEFONE,INF_FAX,INF_EMAIL,INF_SITE,INF_DESCRICAO,INF_FONTE,INF_MUNICIPAL,DTM_UPD,GlobalID
-9.192913303928236,38.760653302048929,1,1102316001001004,999,Teatro Armando Cortez,"Estrada da Pontinha, 7 ",+351 217 110 890 | +351 912 342 334,,geral@casadoartista.net,http://www.casadoartista.net/,Apoiarte - Lotação/Capacidade 300 lugares.,-,0,2017-05-16T10:31:43.000Z,68ac8659-d122-44ca-aec7-c1070e316642
-9.211663723869307,38.694271703330152,2,3200616034001001,999,Gabinete Curiosidades Karnart,"Avenida da Índia, 168",+351 213 466 411/+351 914 150 935 ,,geral@karnart.org,www.karnart.org,"O Gabinete Curiosidades Karnart é a sede da KARNART, Criação e Produção de Objetos Artísticos, associação que desenvolve projetos nas áreas da criação, investigação e produção de objetos artísticos (plásticos, performativos, audiovisuais e outros) centrados no conceito de PERFINST (PERFormance-INSTalação). A KARNART foi fundada em 2001 pelo ator, encenador e produtor Luís Castro, em associação com o artista plástico Vel Z (Velez), a designer de moda Fernanda Ramos, a fotógrafa Maria Campos e a produtora e realizadora Filipa Reis.",www.karnart.org,1,2019-08-21T11:31:17.000Z,4685f80e-8009-463b-897d-a53b6df3a1bd
-9.202425754016286,38.750718020556114,3,0807103013001012,999,Teatro Turim,"Estrada de Benfica, 723A",+351 217 606 666,,geral@teatroturim.com,www.teatroturim.com,,-,0,2012-11-22T00:00:00.000Z,1f5b122f-e5b6-48ae-b65d-cc7b44dd3f3d
-9.145780477838111,38.712303807207945,4,2801402006003001,999,Teatro do Bairro,"Rua Luz Soriano, 63",+351 213 473 358,,teatrodobairro.geral@sapo.pt,www.teatrodobairro.org,"O Teatro do Bairro naceu em 2011, e, criou-se também uma nova companhia de teatro, que nasce já com oito espetáculos no curriculum e uma experiência de sete anos de produções: a Companhia Teatro do Bairro.",-,0,2019-03-12T17:24:17.000Z,647fde91-d7e5-46cd-99be-220047f3fd60
-9.131669152958656,38.711070838946299,5,3400404018001002,999,Café - Teatro Santiago Alquimista,"Rua de Santiago, 19",21 888 45 03,,mail@santiagoalquimista.com,www.santiagoalquimista.com/,,http://agendalx.pt/cgi-bin/iportal_agendalx,0,2018-11-23T12:32:57.000Z,8303a955-32b4-49f4-90d7-bf389c56df8a
-9.11209556719685,38.74586674163276,6,2103501048001001,999,Casa Conveniente- Zona não Vigiada,"Avenida João Paulo II, Lote 536 - 1º A;",+351 912 818 164 / +351 967 580 171,,casaconveniente.zonanaovigiada@gmail.com,,Companhia de teatro dirigida por  Mónica Calle. Em 2014 a companhia migra do Cais do Sodré para a Zona J de Chelas.,-,0,2016-02-12T15:55:39.000Z,712cadfd-3cfd-404a-9b6b-700e9ab9b51c
-9.147297380213379,38.711358419372978,7,2801304003001,2,Espaço Negócio,"Rua de O Século, 9 - Porta 5",+351 213 430 205,,zdb@zedosbois.org,www.zedosbois.org,"Espaço gerido pela Galeria Zé dos Bois voltado essencialmente para a criação artística, pesquisa e laboratório. Acompanha e contextualiza o trabalho de diversos criadores, acolhe residências, coproduz e apresenta uma programação regular no âmbito das Artes Performativas.",-,0,2016-03-18T12:10:35.000Z,1ab281b2-d719-42b1-8c8f-afd913d7e7bc
-9.14257794522265,38.711866739910604,8,2700407010001,2,Teatro da Trindade,"Largo da Trindade, 7A",+351 213 423 200,,teatro.trindade@inatel.pt,www.inatel.pt,"Situado numa das zonas mais antigas de Lisboa, entre o Chiado e o Bairro Alto, o Teatro da Trindade foi construído em pleno séc. XIX, quando o centro social e cultural da cidade se situava exatamente nesta área. Testemunho dessa, o Trindade transporta consigo a memória de um tempo em que a burguesia alfacinha ia às soirées ao Chiado, a um dos três teatros que ainda hoje se mantêm nessas poucas ruas: o S. Carlos, O S. Luís (então chamado Rainha D. Amélia) e o Trindade. Mas, provavelmente devido à novidade e aos requintes de decoração e apetrechamento, que incluíam um engenhoso sistema de ventilação da sala, o balcão - o primeiro a aparecer numa sala de espetáculos  do país - e uma plateia que podia subir até ao nível do palco e assim permitir a realização de bailes, o Trindade rapidamente se transformou no teatro mais chique da capital.
",-,0,2019-03-08T12:38:12.000Z,5bed0133-37c9-484f-8cf2-8cb7e0251dd8
-9.217808368397643,38.694607798405173,9,3202301110001,2,Academia Dramática Familiar 1º de Novembro,"Rua da Praia de Pedrouços, 76-78",+351 213 012 601,,,,"Edifício do séc XIX de arquitectura cultural e recreativa. Academia com auditório de planta rectangular composto pela justaposição de 2 rectângulos, respectivamente, caixa de palco e plateia animada por galeria de implantação em U, ao nível do 1º andar. Destaca-se o registo azulejar industrial (branco, azul e amarelo) que anima a fachada principal, de tratamento plástico coincidente com o gosto arte nova, com a denominação do clube ladeada por duas cabeças femininas.",-,0,2017-02-15T12:22:20.000Z,4b2bc8a1-39ba-453e-a660-1dc16658be44
-9.155237882758815,38.707179493890429,10,3701602023001,2,Teatro Cinearte,"Largo de Santos, 2-2E",21 396 53 60/275,,barraca@mail.telepac.pt / bilheteira@abarraca.com,www.abarraca.com,"Encomendado pela Sociedade Administradora de Cinemas, Lda., o Cinearte foi construído em 1938, segundo projecto do arq. Raul Rodrigues Lima. Classificado como Imóvel de Interesse Público, traduz um volume compacto, coberto por terraço, contrastante com a traça urbana envolvente, assemelhando-se a um edifício industrial de linhas modernistas. O cinema encerrou as portas em 1981. Nove anos passados, em 1990, já na posse da Câmara Municipal de Lisboa, o espaço foi cedido à companhia de teatro 'A Barraca', que aí continua a funcionar. A construção de uma segunda sala, em 1993, segundo projecto do arq. Rui Pimentel, veio trazer alterações significativas ao espaço interno original. Lotação/Capacidade 754 lugares.
",-,1,2018-02-06T15:44:24.000Z,217a8ffb-841d-4ab3-a9dc-2a254ba37d1f
